Band;Ort Grimm;Ort XY;Y;X;Jahr eigene;Jahr;Region eigene;Region Grimm;Wein
1;Betmeringen bei StÃ¼hlingen;X;47,753929;8,362254;NN;NN;WOD;Baden;
1;HÃ¤gbach im Kinzigthal;X;48,290644;8,272019;1487;1487;WOD;Baden;
4;Oppenau;;48,47361111;8,159444444;1450;15. Jh.;WOD;Schwaben;ei
4;Sankt Blasisches Waldamt St. Blasien;;47,761944;8,128333;1383;1383;WOD;Schwaben;i
1;Cappel bei Achern, Oberkirch, Lichtenau;X;48,591111;8,1175;1450;15. Jh.;WOD;Baden;
1;Cappel (bei Achern);X;48,631389;8,073889;1450;15. Jh.;WOD;Schwarzwald;i
1;Sigmonswald(e) bei Waldkirch;X;48,100278;8,055833;NN;NN;WOD;Baden;
1;Stollhofen;X;48,766034;8,049202;NN;NN;WOD;Baden;
1;St. Peter (Hochschwarzwald);X;48,016389;8,0325;1453;1453-1484;WOD;Schwarzwald;i
5;Schwarzwald;X;48;8;1484;1484;WOD;Baden;
1;Attenthal im Dreisamtal;X;47,982778;7,963889;NN;NN;WOD;Baden;
1;Wyler (in der Treisamgegend);X;47,982778;7,963889;NN;NN;WOD;Baden;
1;Blenich = Planich bei Kreuznach;X;49,862498;7,912009;1450;15. Jh.;WOD;Baden;
4;SchÃ¶nau Todtnau Wiesenthal;X;47,786667;7,894167;1321;1321;WOD;Schwaben;
4;SchÃ¶nau und Todtnau Wiesenthal;X;47,786667;7,894167;1373;1373;WOD;Schwaben;
4;SchÃ¶nau Todtnau Wiesenthal;X;47,786667;7,894167;1519;1519;WOD;Schwaben;
4;Auenheim bei Kehl;X;48,6;7,84;1442;1442;WOD;Schwaben;
1;Espach Eschbach bei Staufen am Rhein;X;47,89;7,655;NN;NN;WOD;Baden;
4;Sansbach;;48,139444;7,617222;1432;1432;WOD;Schwaben;i
1;Dornstetten;X;;;1456;1456;WOD;Schwarzwald;i_ei
1;Hachberg;X;;;1341;1341;WOD;Schwarzwald;i
1;Weitnau;X;;;1344;1344;WOD;Schwarzwald;i
1;Kleinkembs;;;;1350;1350;WOD;Schwarzwald;i
1;Rastatt;X;;;1370;1370;WOD;Schwarzwald;i
1;Kirchzarten;X;;;1395;1395;WOD;Schwarzwald;i
1;Zarten;X;;;1397;1397;WOD;Schwarzwald;i
1;Fischingen;X;;;1415;1415;WOD;Schwarzwald;i
1;Dornhaim;X;;;1417;1417;WOD;Schwarzwald;i
5;Sternatingen;;;;1443;1443;WOD;Schwarzwald;i
4;Weiterstadt;;;;1484;1484;WOD;Schwarzwald;i
5;Kuessenberg;;;;1497;1497;WOD;Schwarzwald;i
1;Schwarzach;X;;;1250;13. Jh.;WOD;Schwarzwald;i
4;Neuenzelle;;;;1350;14. Jh.;WOD;Schwarzwald;i
6;St. Trudbert;;;;1450;15. Jh.;WOD;Schwarzwald;i
1;Espach;X;;;NN;NN;WOD;Schwarzwald;i
1;LÃ¶rrach;;;;NN;NN;WOD;Schwarzwald;i
1;Niderneggenheim;X;;;NN;NN;WOD;Schwarzwald;i
4;HÃ¼gelheim am Rhein bei MÃ¼lheim;;;;NN;NN;WOD;Schwarzwald;i
6;Istein Huttingen am Rhein;;;;NN;NN;WOD;Schwarzwald;i
6;Hessigheim;;;;1424;1424;WOD;Schwaben;ei
1;Landsberg (bei Heppenheim);X;;;1430;1430;WOD;Schwarzwald;ei
1;Winterrauch (am Neckar);;;;1507;1507;WOD;Schwarzwald;ei
1;Strassheim;X;;;1533;1533;WOD;Schwarzwald;ei
6;Naeher-Memmingen;;;;NN;Abschrift 17. Jh. Z.T. 1366;WOD;Schwaben;ei
6;Kloster Anhausen (bei Heidenheim und GeiÃŸlingen);;;;NN;NN;WOD;Schwaben;ei
1;Saspach Sasbach;X;;;NN;NN;WOD;Schwarzwald;ei
6;Augsburg;;;;1316;1316;WOD;Schwaben;
