Band;Ort Grimm;Ort XY;Y;X;Jahr eigene;Jahr;Region eigene;Region Grimm;Wein
1;Speckbach bei Altkirch;X;47,671111;7,229167;NN;NN;Elsass;Elsass;
4;Heimsbrunn bei MÃ¼hlhausen;;47,726667;7,226389;1301;14. Jh. Anfang;Elsass;Elsass;i
4;St. LÃ¼kart;;47,596667;7,222222;1354;1354;Elsass;Elsass;i
4;St. LÃ¼kart;;47,596667;7,222222;1772;1772;Elsass;Elsass;ei
4;St. LÃ¼cker zwischen Hirtzbach und Carspach;X;47,596667;7,222222;1448;1448;Elsass;Elsass;
4;Ober-Spechbach;;47,68055556;7,216666667;1420;1420;Elsass;Elsass;i
4;Karspach;X;47,61527778;7,211944444;1420;1420;Elsass;Elsass;i
4;Gebweiler bei Sulz;;47,9075;7,210278;1397;1397;Elsass;Elsass;i
5;Gebweiler;;47,9075;7,210277778;1444;1444;Elsass;Elsass;i
4;Enschingen;X;47,671111;7,201667;1420;1420;Elsass;Elsass;i
4;Wattwiller bei Thann;X;47,836389;7,180278;1397;1397;Elsass;Elsass;i
4;Balschwiller;;47,66888889;7,168333333;1413;1413;Elsass;Elsass;ei
4;Niederburnhaupt;X;47,71777778;7,161666667;1382;1382;Elsass;Elsass;i
6;Wasserburg;;48,003056;7,158333;NN;NN;Elsass;Elsass;i
4;Budwiller;;47,656389;7,149444;1420;1420;Elsass;Elsass;i
4;MÃ¼nster bei Colmar;X;48,041389;7,134167;1339;1339;Elsass;Elsass;i_ei
4;MÃ¼nster bei Colmar;X;48,041389;7,134167;1498;1498;Elsass;Elsass;
4;Gildwiller;;47,68944444;7,134166667;NN;1394-1625;Elsass;Elsass;ei
4;Ober-Aspach bei Nieder-Aspach;X;47,775278;7,1325;1588;1588;Elsass;Elsass;
4;Dammerkirch Dannemarie;;47,63;7,12;1578;1578;Elsass;Elsass;ei
4;Hohenrodern;X;47,78;7,092222;1354;1354;Elsass;Elsass;i
5;Uffrieth;;49;7;1528;1528;Elsass;Elsass;i
5;Struth;;49;7;1585;1585;Elsass;Elsass;i
5;Dettwiller;;;;1380;1380;Elsass;Elsass;i_ei
1;Appenwiler;Appenwihr;;;1486;1486;Elsass;Elsass;i_ei
5;Hattgau;;;;1494;1494;Elsass;Elsass;i_ei
5;Bergbieten Boelenheim;;;;1499;1499;Elsass;Elsass;i_ei
4;Kuenheim;;;;1513;1513;Elsass;Elsass;i_ei
4;Bergheim;;;;Mitte 14. Jh. ;1369 1551;Elsass;Elsass;i_ei
4;Oberhergheim;;;;1390;Ende 14. Jh.;Elsass;Elsass;i_ei
1;Neuweiler (Pfalzburg);X;;;NN;NN;Elsass;Elsass;i_ei
1;Oberstotzheim (bei Stotzheim);X;;;NN;NN;Elsass;Elsass;i_ei
5;Preinsdorf Preuschdorf;;;;NN;NN;Elsass;Elsass;i_ei
1;Andlau (Breisgau);X;;;1284;1284;Elsass;Elsass;i
1;Andlau (im Breisgau);;;;1284;1284;Elsass;Elsass;i
5;Sulze;;;;1300;1300;Elsass;Elsass;i
5;Kleinfrankenheim (bei Truchersheim);;;;1307;1307;Elsass;Elsass;i
1;Selz;X;;;1310;1310;Elsass;Elsass;i
1;Artoltzheim Artelsheim;Artolsheim;;;1320;1320;Elsass;Elsass;i
1;EbersheimmÃ¼nster;X;;;1320;1320;Elsass;Elsass;i
1;Sigolzheim;X;;;1320;1320;Elsass;Elsass;i
5;Griesheim (Elsass);;;;1340;1340;Elsass;Elsass;i
5;Pfeffingen Phaffans (Ã¶stl. von Belfort);;;;1344;1344;Elsass;Elsass;i
5;Ruffach;;;;1349;1349;Elsass;Elsass;i
4;Sennheim;;;;1354;1354;Elsass;Elsass;i
4;Wiedensohlen;;;;1364;1364;Elsass;Elsass;i
5;Qualzenheim;;;;1375;1375;Elsass;Elsass;i
4;Issenheim;;;;1382;1382;Elsass;Elsass;i
1;Grosskems;X;;;1384;1384;Elsass;Elsass;i
4;Logenheim;;;;1404;1404;Elsass;Elsass;i
4;Sigolsheim;;;;1407;1407;Elsass;Elsass;i
4;Berenzwiller;;;;1420;1420;Elsass;Elsass;i
4;Ramerschmatt;;;;1420;1420;Elsass;Elsass;i
4;Turkheim;TÃ¼rkheim;;;1422;1422;Elsass;Elsass;i
5;Duntzenheim;;;;1438;1438;Elsass;Elsass;i
5;Hohennack (bei MÃ¼nster am Kaiserberg);;;;1441;1441;Elsass;Elsass;i
4;BÃ¼hl BÃ¼hel bei Sulz;;;;1453;1453;Elsass;Elsass;i
1;Zimersheim (bei Habsheim);X;;;1483;1483;Elsass;Elsass;i
1;Heiligenberg;X;;;1485;1485;Elsass;Elsass;i
4;Egisheim;;;;1508;1508;Elsass;Elsass;i
4;Brinighofen;;;;1510;1510;Elsass;Elsass;i
4;Richisheim Rixheim;;;;1532;1532;Elsass;Elsass;i
4;Sulzmatt;;;;1450;15. Jh.;Elsass;Elsass;i
1;Ittenheim ;X;;;1550;16. Jh.;Elsass;Elsass;i
1;Ãœtenheim;Ittenheim;;;1550;16. Jh.;Elsass;Elsass;i
5;Olvisheim;;;;NN;Abschrift 16. Jh.;Elsass;Elsass;i
5;Reitwiller;;;;NN;Abschrift 16. Jh.;Elsass;Elsass;i
4;Metzeral bei Sigolsheim;;;;1401;Anfang 15. Jh.;Elsass;Elsass;i
4;Riespach;;;;1390;Ende 14. Jh.;Elsass;Elsass;i
1;Bruschwickersheim;;;;NN;NN;Elsass;Elsass;i
1;Dankrotsheim Trenheim Dosenheim;X;;;NN;NN;Elsass;Elsass;i
1;Fegersheim;;;;NN;NN;Elsass;Elsass;i
1;HÃ¼ningen (bei Basel);X;;;NN;NN;Elsass;Elsass;i
1;Ingemersheim;X;;;NN;NN;Elsass;Elsass;i
1;Nothalden (bei Andlau);X;;;NN;NN;Elsass;Elsass;i
1;Oberhachental;X;;;NN;NN;Elsass;Elsass;i
1;Swindrazheim;Schwindratzheim;;;NN;NN;Elsass;Elsass;i
1;Wrazhoven;X;;;NN;NN;Elsass;Elsass;i
1;Wrazhoven;Westhoffen;;;NN;NN;Elsass;Elsass;i
4;BÃ¼hl BÃ¼hel bei Sulz;;;;NN;NN;Elsass;Elsass;i
5;Griespach Griesbach (bei MÃ¼nster);;;;NN;NN;Elsass;Elsass;i
5;Ingwiller;;;;NN;NN;Elsass;Elsass;i
5;Kintzheim;;;;NN;NN;Elsass;Elsass;i
5;Lohr (Elsass);;;;NN;NN;Elsass;Elsass;i
5;St. Hippolyte;;;;NN;NN;Elsass;Elsass;i
1;Haselach (bei Molsheim);X;;;1336;1336;Elsass;Elsass;ei
5;Pfettisheim;;;;1340;1340;Elsass;Elsass;ei
4;Heimersheim;;;;1413;1413;Elsass;Elsass;ei
5;Saint Jean des Choux;;;;1413;1413;Elsass;Elsass;ei
5;Lutter Brunn (bei Belfort);;;;1450;1450;Elsass;Elsass;ei
4;Herlisheim bei Colmar;;;;1454;1454;Elsass;Elsass;ei
4;HÃ¼rtigheim (bei Fessenheim und Strasbourg);;;;1454;1454;Elsass;Elsass;ei
4;Griesheim;;;;1462;1462;Elsass;Elsass;ei
4;Deckwiller zerstÃ¶rtes Dorf bei Reiningue;Reiningue;;;1497;1497;Elsass;Elsass;ei
4;Sulzbach;Soppe-le-Bas;;;1507;1507;Elsass;Elsass;ei
5;Schaffhausen;Schaffhouse-prÃ¨s-Seltz;;;1507;1507;Elsass;Elsass;ei
5;Avolsheim;;;;1521;1521;Elsass;Elsass;ei
1;Bibelnheim;;;;1529;1529;Elsass;Elsass;ei
5;Sesselsheim;;;;1529;1529;Elsass;Elsass;ei
5;Darstein (bei Ober-Schlettenbach);;;;1530;1530;Elsass;Elsass;ei
1;Ekbolzheim;Ekbolzheim;;;1532;1532;Elsass;Elsass;ei
5;Urbeisthal (bei Hachinette);;;;1536;1536;Elsass;Elsass;ei
1;Imbsheim;Imsheim;;;1559;1559;Elsass;Elsass;ei
4;Kaisers Dinghof Egissheim;;;;1559;1559;Elsass;Elsass;ei
4;Witzenheim;;;;1566;1566-1652;Elsass;Elsass;ei
5;Sulze;;;;1574;1574;Elsass;Elsass;ei
4;Gewenheim;;;;1579;1579;Elsass;Elsass;ei
1;Hengweiler;;;;1584;1584;Elsass;Elsass;ei
4;Hundspach;Hunspach;;;1588;1588;Elsass;Elsass;ei
4;Kienzheim bei Sigolsheim;;;;1597;1597-1734;Elsass;Elsass;ei
1;Waldolvisheim;Wittelsheim;;;1612;1612;Elsass;Elsass;ei
5;Ebersheimmuenster;;;;1612;1612;Elsass;Elsass;ei
5;Menchhofen;;;;1621;1621;Elsass;Elsass;ei
4;Hecken;;;;1661;1661;Elsass;Elsass;ei
5;Balbronn;;;;1663;1663;Elsass;Elsass;ei
5;Behlenheim;;;;1550;16. Jh.;Elsass;Elsass;ei
5;Odern (im St. Amarinthal);;;;NN;Abschrift 16. Jh.;Elsass;Elsass;ei
1;Geispolzheim ;Geispizheim;;;NN;NN;Elsass;Elsass;ei
1;Kleinfrankenheim;;;;NN;NN;Elsass;Elsass;ei
1;MÃ¼lbach;Mollkirch;;;NN;NN;Elsass;Elsass;ei
1;Scherwiller;X;;;NN;NN;Elsass;Elsass;ei
1;Wolksheim;Wolxheim;;;NN;NN;Elsass;Elsass;ei
1;Zusendorf;;;;NN;NN;Elsass;Elsass;ei
4;Dickenhof;;;;NN;NN;Elsass;Elsass;ei
5;Dahlenheim;;;;NN;NN;Elsass;Elsass;ei
5;Durningen;;;;NN;NN;Elsass;Elsass;ei
5;Goersdorf;;;;NN;NN;Elsass;Elsass;ei
5;Hindisheim;;;;NN;NN;Elsass;Elsass;ei
5;Lampersloch;;;;NN;NN;Elsass;Elsass;ei
5;Limersheim;;;;NN;NN;Elsass;Elsass;ei
5;Neugartheim;;;;NN;NN;Elsass;Elsass;ei
5;Printzheim;;;;NN;NN;Elsass;Elsass;ei
5;Wangen (Elsass);;;;NN;NN;Elsass;Elsass;ei
5;Schaffhausen;Schaffhouse-prÃ¨s-Seltz;;;1474;1474;Elsass;Elsass;
4;Ammertzswiller;;;;1576;1576;Elsass;Elsass;
5;Reitwiller;;;;1250;13. Jh.;Elsass;Elsass;
4;Wilr Wir Weiler im Thal;;;;1490;Ende 15. Jh.;Elsass;Elsass;
1;Elhalden (Ehlhalten) Nithusen;X;50,174992;8,368401;1482;1482;MDT;MDT;i
5;Heldenberg;X;48,5;15,95;1433;1433;MDT;Hessen;
6;Vilseck bei Amberg Oberpfalz;X;49,610833;11,805278;1410;1410;MDT;Franken;
6;Reichswald bei NÃ¼rnberg;X;49,49712;11,184769;1294;1294;MDT;Franken;
3;Hausen;X;49,9;11,03;1449;1449;MDT;Franken;
3;Meiningen;X;50,57;10,42;1450;1450;MDT;Franken;
3;Behrungen bei Mellrichstadt;X;50,41;10,41;NN;NN;MDT;ThÃ¼ringen;
3;Herrnbreitingen;X;50,75;10,35;1499;1499;MDT;Franken/ThÃ¼ringen;
3;GroÃŸen Bursla;X;51,12;10,12;1441;1441;MDT;Hessen;
3;Monre;X;50,79;10,1;1457;1457;MDT;ThÃ¼ringen;
6;Unter-Pleichfeld, Esleben, Kuernach bei WÃ¼rzburg;X;49,866667;10,05;1400;1400;MDT;Franken;
6;Eibelstadt;;49,72388889;10,00083333;1396;1396;MDT;Franken;ei
3;Schontra bei Kissingen;X;50,27;9,86;1450;15. Jh.;MDT;Franken;
